,TRE3326A10-45241226,TRE3326A11-45241228,TRE3326A12-45238228,TRE3326A13-45249221,TRE3326A14-45252219,TRE3326A15-45241232,TRE3326A16-45245241,TRE3326A17-45241234,TRE3326A18-45238232
EX_murein4px4px4p_e_m,0.06640793887789068,0.06876000005518056,0.06875993806473993,0.06875995241842991,0.06875999972552083,0.09280964262760656,0.0685527024986065,0.06875996675394906,0.06876000024375367
EX_murein5p4p_e_m,-0.028817402584264323,-0.03438000000136057,-0.03438000002570563,-0.03437999999730466,-0.034379999999031366,-0.034379999999254264,-0.03365600518140113,-0.03437999999554898,-0.03438000002343282
EX_murein4p4p_e_m,0.06324516948271729,0.07646405194509111,0.07438726507867771,0.06875997844143666,0.08105152828197358,0.04471035378581077,0.05270761017253751,0.08225446416682447,0.07643778715999798
EX_murein4p3p_e_m,0.030915119387193237,0.03437999917792898,0.034380053450509526,0.03438001242169734,0.03437999836056282,0.03438000238826218,0.033702761476914464,0.03438000808292558,0.0343800000062466
EX_murein5p3p_e_m,-0.03091511938723875,-0.03438000000136057,-0.03438000002570593,-0.03437999999730466,-0.03437999999903137,-0.034379999999262105,-0.03370276147782562,-0.034379999995560025,-0.03438000002360407
EX_melib_e_m,-0.03151458971323941,-8.68764959987976e-12,1.335646843919025e-12,-1.7864744170243672e-12,-6.527999146597437e-13,4.008118380237848e-12,-0.029649368219754182,-2.2172426364566857e-11,1.9213020568849512e-10
EX_met__L_e_m,-0.059354563017424,-0.0687599999893034,-0.05972931226226506,-0.048000637583325394,-0.040335202333834204,-0.06876000000523022,-0.06355907245963546,-0.06625679261386637,-0.06876000003814954
EX_mobd_e_m,-0.47200207042243053,-5.701112892129166e-12,-2.2026840569417962e-12,-3.281148870875476e-12,-9.034874543836113e-13,-1.0674135218400435e-11,-0.25840406527291765,-6.191147284622796e-11,-2.280452042200215e-11
EX_uaagmda_e_m,-0.031399078210499295,-0.034380000001130596,-0.03438000002385258,-0.006610043673140504,-0.03437999999154564,-0.034379999994220166,-0.03417741858839212,-0.0343799999858344,-0.03438000002163247
EX_udcpdp_e_m,-0.02249900694362593,0.013786345941089285,0.011254224814820541,3.11259696727929e-11,0.024583056332269097,0.02404964521108726,-0.030748616794828938,0.02698890114197605,0.015355574417928014
EX_mso3_e_m,-0.0023634787886288896,7.03199448770065e-13,6.083168203123828e-12,1.3888970913354844e-14,-6.701611015921824e-14,-1.5766858509541212e-12,-0.0001192290187793926,-6.707116230778516e-12,-5.781834533931605e-10
EX_ncam_e_m,-3.4623272292233056e-05,-2.221301319017556e-05,-0.0005043523877099476,-1.6120456003545024e-10,-1.2522508905838496e-11,-2.5705503275056116e-12,-0.00015594190573319408,-5.941244877183848e-11,-4.97620516563182e-12
EX_no3_e_m,-0.03417920377749336,-0.03438000000236422,-0.03438000003037727,-0.03437999999983094,-0.03437999999994211,-0.034380000008989005,-0.034364238068675224,-0.034380000025013555,-0.03438000004191546
EX_no_e_m,-0.03437999999851067,-0.03438000000136782,-0.03438000002903199,-0.03437999999882067,-0.0343799999996065,-0.03438000000530279,-0.03395476707107714,-0.034379999996600824,-0.03438000004051966
EX_pnto__R_e_m,0.06814132792567709,-9.426071471202092e-13,-1.1149806013988102e-11,-4.994200211220273e-07,-9.425717118854014e-05,-2.8454106044643553e-10,0.3030860870022055,-9.601624976919333e-11,-6.160097141110456e-10
EX_ptrc_e_m,-0.03401954337382178,-1.8554846240019686e-11,-2.3750024589120265e-11,-6.024319785298456e-12,-0.0003851069137188183,-8.592047982538643e-11,-0.03405930631340274,-1.1493694046694018e-10,0.025283847858544945
EX_pullulan1200_e_m,-0.03342980276146476,3.85675071873183e-13,1.8418265462030468e-12,-0.009456926158283278,-0.007767752655739662,-0.008661793306540714,-0.03412560841908003,1.6038276280450924e-13,7.785614870348578e-13
EX_so4_e_m,-3.430336169824597,-0.0023473175923056176,-0.0023372186271806497,-0.0023815808096377977,-0.0023902970376517376,-2.6631247719838,-3.4379041707074163,-1.1874110889445928,-3.4380000000409208
EX_trp__L_e_m,-0.05723129311919496,-0.06875999999959855,-0.012560328068553435,-0.005472853076578683,-0.0035610872285282143,-0.06876000000154271,-0.06797943309832562,-0.0007645234138850592,-0.0013884959362878153
EX_tyr__L_e_m,-0.0006374282092163881,-0.0006888290890201379,-0.000719818596187397,-0.0003735156614689813,-0.0004209682337520103,-0.0005992134952520393,-0.0019960426730253125,-0.0006310461930671393,-0.002146255486908548
EX_val__L_e_m,-0.02501199057066087,-0.06875999999854365,-0.06876000002383206,-0.06875999999900378,-0.06875999999965081,-0.06876000000383234,-0.060990020799113455,-0.06876000001413506,-0.06876000002680417
EX_raffin_e_m,-0.034379999977769166,-1.122243375503515e-11,-1.2870435686084592e-11,-1.0090359152313078e-11,-3.122897473245677e-12,-7.033658548038966e-10,-0.033050116528104585,-1.1444266627934613e-10,-3.9093754390015276e-10
EX_rbt_e_m,-0.02910783855412253,-3.4921609065047376e-12,-1.3864555411608863e-11,-3.322431733932706e-12,-3.65554346665673e-12,-1.0078013453090962e-11,-0.030548325901732065,-4.175189393584336e-11,-4.3342562423509334e-11
EX_spmd_e_m,0.12519998267265206,5.320004119812397e-12,2.186838342888095e-12,7.113752117030272e-12,2.201704243640748e-12,4.245681162771291e-11,1.2717407600746775,7.205521268951182e-11,0.8424485740955016
EX_rib__D_e_m,-0.0171602123869683,-0.034379999999720925,-0.03438000002900703,-0.03437999999915027,-0.03437999999977145,-0.03438000000489159,-0.022414096322138394,-0.03438000001122067,-0.03438000003823047
EX_salchs4fe_e_m,-0.033223578039958034,-1.0614784072691648e-11,-2.014381913881932e-11,-1.676362480316875e-11,-7.4569960148212e-12,-5.4610000482941005e-11,-0.03286631673756667,-3.032036676951017e-10,-8.784415064257154e-11
EX_salchs4_e_m,0.03322357803986306,1.0498537445928407e-11,1.8340779615789723e-11,1.4305498370789835e-11,5.842924497305085e-12,5.50588098958261e-11,0.03288300267182999,2.902332250256562e-10,8.960693658188196e-11
EX_sbt__D_e_m,-0.03219518040600422,-0.03437999996901652,-0.0012078825554438424,-4.384936481687043e-11,-1.0143109905831344e-11,-2.7273570080015384e-11,-0.03244439830682762,-1.587280901515824e-10,-0.034380000032392874
